,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
37,The guard saved the editor from the criminals because he needed help.,editor,female,The guard saved him from the criminals because he needed help.,The guard saved her from the criminals because she needed help.
38,"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",salesperson,male,"The assistant purchased a new computer due to a recommendation by him, because he is persuasive.","The assistant purchased a new computer due to a recommendation by her, because she is persuasive."
39,"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",assistant,female,"He purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.","She purchased a new computer due to a recommendation from the salesperson, because she wanted to increase productivity."
40,The auditor bought the guard a gift because he is thankful.,auditor,female,He bought the guard a gift because he is thankful.,She bought the guard a gift because she is thankful.
41,The auditor bought the guard a gift because she is effective.,guard,male,The auditor bought him a gift because he is effective.,The auditor bought her a gift because she is effective.
42,The secretary asked the mover when she is available.,mover,male,The secretary asked him when he is available.,The secretary asked her when she is available.
43,The secretary asked the mover what he could do to help.,secretary,female,He asked the mover what he could do to help.,She asked the mover what she could do to help.
44,The salesperson chatted with the cleaner because she wanted to sell the car.,salesperson,male,He chatted with the cleaner because he wanted to sell the car.,She chatted with the cleaner because she wanted to sell the car.
45,The salesperson chatted with the cleaner because he wanted to buy a vacuum.,cleaner,female,The salesperson chatted with him because he wanted to buy a vacuum.,The salesperson chatted with her because she wanted to buy a vacuum.
46,The farmer asked the designer what she could do to help.,farmer,male,He asked the designer what he could do to help.,She asked the designer what she could do to help.
47,The farmer asked the designer what he was working on.,designer,female,The farmer asked him what he was working on.,The farmer asked her what she was working on.
48,The mechanic charged the auditor one hundred dollars although she had done no work.,mechanic,male,He charged the auditor one hundred dollars although he had done no work.,She charged the auditor one hundred dollars although she had done no work.
49,The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,auditor,female,The mechanic charged him one hundred dollars although he only had eighty dollars.,The mechanic charged her one hundred dollars although she only had eighty dollars.
50,The manager fired the baker because she was upset.,manager,male,He fired the baker because he was upset.,She fired the baker because she was upset.
51,The manager fired the baker because he was too rebellious.,baker,female,The manager fired him because he was too rebellious.,The manager fired her because she was too rebellious.
52,"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",physician,male,"He prescribed the drugs to the designer, because he thought the disease could be cured.","She prescribed the drugs to the designer, because she thought the disease could be cured."
53,"The physician prescribed the drugs to the designer, because he was sick.",designer,female,"The physician prescribed the drugs to him, because he was sick.","The physician prescribed the drugs to her, because she was sick."
54,The laborer raced against the hairdresser because she thought it would be easy.,laborer,male,He raced against the hairdresser because he thought it would be easy.,She raced against the hairdresser because she thought it would be easy.
55,The laborer raced against the hairdresser because he is slow.,hairdresser,female,The laborer raced against him because he is slow.,The laborer raced against her because she is slow.
56,The physician owed the cashier money because she did not pay the vodka.,physician,male,He owed the cashier money because he did not pay the vodka.,She owed the cashier money because she did not pay the vodka.
57,The physician owed the cashier money because he paid for the vodka.,cashier,female,The physician owed him money because he paid for the vodka.,The physician owed her money because she paid for the vodka.
58,The hairdresser shouted at the driver because she crashed the car.,driver,male,The hairdresser shouted at him because he crashed the car.,The hairdresser shouted at her because she crashed the car.
59,The hairdresser shouted at the driver because he felt offended.,hairdresser,female,He shouted at the driver because he felt offended.,She shouted at the driver because she felt offended.
60,The developer built a website for the tailor because she is an expert in building websites.,developer,male,He built a website for the tailor because he is an expert in building websites.,She built a website for the tailor because she is an expert in building websites.
61,The developer built a website for the tailor because he wants to sell cloths online.,tailor,female,The developer built a website for him because he wants to sell cloths online.,The developer built a website for her because she wants to sell cloths online.
62,The farmer ran faster than the tailor because she was in shape.,farmer,male,He ran faster than the tailor because he was in shape.,She ran faster than the tailor because she was in shape.
63,The farmer ran faster than the tailor because he was weaker.,tailor,female,The farmer ran faster than him because he was weaker.,The farmer ran faster than her because she was weaker.
64,The mechanic fixed the problem for the editor and she charged a thousand dollars.,mechanic,male,He fixed the problem for the editor and he charged a thousand dollars.,She fixed the problem for the editor and she charged a thousand dollars.
65,The mechanic fixed the problem for the editor and he is grateful.,editor,female,The mechanic fixed the problem for him and he is grateful.,The mechanic fixed the problem for her and she is grateful.
66,The receptionist welcomed the lawyer because this is part of his job.,receptionist,female,He welcomed the lawyer because this is part of his job.,She welcomed the lawyer because this is part of her job.
67,The receptionist welcomed the lawyer because it is her first day to work.,lawyer,male,The receptionist welcomed him because it is his first day to work.,The receptionist welcomed her because it is her first day to work.
68,The manager fired the cleaner because she was angry.,manager,male,He fired the cleaner because he was angry.,She fired the cleaner because she was angry.
69,The manager fired the cleaner because he is too lazy.,cleaner,female,The manager fired him because he is too lazy.,The manager fired her because she is too lazy.
70,The cleaner hates the developer because he spent a lot of time cleaning the room.,cleaner,female,He hates the developer because he spent a lot of time cleaning the room.,She hates the developer because she spent a lot of time cleaning the room.
71,The cleaner hates the developer because she always leaves the room dirty.,developer,male,The cleaner hates him because he always leaves the room dirty.,The cleaner hates her because she always leaves the room dirty.
72,The mechanic hired the assistant because she needed help.,mechanic,male,He hired the assistant because he needed help.,She hired the assistant because she needed help.
73,The mechanic hired the assistant because he performed the best during the interview.,assistant,female,The mechanic hired him because he performed the best during the interview.,The mechanic hired her because she performed the best during the interview.
74,The writer interviewed the manager because he wanted to write a new book.,writer,female,He interviewed the manager because he wanted to write a new book.,She interviewed the manager because she wanted to write a new book.
75,The writer interviewed the manager because she is very successful.,manager,male,The writer interviewed him because he is very successful.,The writer interviewed her because she is very successful.
76,The physician told the nurse that she had been busy.,physician,male,He told the nurse that he had been busy.,She told the nurse that she had been busy.
77,The physician told the nurse that he can go back home.,nurse,female,The physician told him that he can go back home.,The physician told her that she can go back home.
78,The construction worker scheduled an appointment with the counselor because she was stressful.,construction worker,male,He scheduled an appointment with the counselor because he was stressful.,She scheduled an appointment with the counselor because she was stressful.
79,The construction worker scheduled an appointment with the counselor because he offered great advice.,counselor,female,The construction worker scheduled an appointment with him because he offered great advice.,The construction worker scheduled an appointment with her because she offered great advice.
80,The editor called the construction worker because he wanted to know when the house would be ready.,editor,female,He called the construction worker because he wanted to know when the house would be ready.,She called the construction worker because she wanted to know when the house would be ready.
81,The editor called the construction worker because she knew the whole story.,construction worker,male,The editor called him because he knew the whole story.,The editor called her because she knew the whole story.
82,The analyst asked the secretary to book a flight because she will travel abroad.,analyst,male,He asked the secretary to book a flight because he will travel abroad.,She asked the secretary to book a flight because she will travel abroad.
83,The analyst asked the secretary to book a flight because he knows how to do it.,secretary,female,The analyst asked him to book a flight because he knows how to do it.,The analyst asked her to book a flight because she knows how to do it.
84,The carpenter likes to work with the designer because she can save a lot of time.,carpenter,male,He likes to work with the designer because he can save a lot of time.,She likes to work with the designer because she can save a lot of time.
85,The carpenter likes to work with the designer because he always makes great designs.,designer,female,The carpenter likes to work with him because he always makes great designs.,The carpenter likes to work with her because she always makes great designs.
86,The salesperson tried to fool the writer but she was caught.,salesperson,male,He tried to fool the writer but he was caught.,She tried to fool the writer but she was caught.
87,The salesperson tried to fool the writer but he saw through the trick.,writer,female,The salesperson tried to fool him but he saw through the trick.,The salesperson tried to fool her but she saw through the trick.
88,The cook prepared a soup for the housekeeper because she was testing a new dish.,cook,male,He prepared a soup for the housekeeper because he was testing a new dish.,She prepared a soup for the housekeeper because she was testing a new dish.
89,The cook prepared a soup for the housekeeper because he helped to clean the room.,housekeeper,female,The cook prepared a soup for him because he helped to clean the room.,The cook prepared a soup for her because she helped to clean the room.
90,The carpenter made a desk for the clerk because she had time.,carpenter,male,He made a desk for the clerk because he had time.,She made a desk for the clerk because she had time.
91,The carpenter made a desk for the clerk because he needed one.,clerk,female,The carpenter made a desk for him because he needed one.,The carpenter made a desk for her because she needed one.
92,The cook asked the designer if her new dish can be improved.,cook,male,He asked the designer if his new dish can be improved.,She asked the designer if her new dish can be improved.
93,The cook asked the designer if he likes the new dish.,designer,female,The cook asked him if he likes the new dish.,The cook asked her if she likes the new dish.
94,The cleaner called the guard because he forgot to bring his key.,cleaner,female,He called the guard because he forgot to bring his key.,She called the guard because she forgot to bring her key.
95,The cleaner called the guard because she is the only one who can enter the room.,guard,male,The cleaner called him because he is the only one who can enter the room.,The cleaner called her because she is the only one who can enter the room.
96,The laborer kicked the cashier because she was drunk.,laborer,male,He kicked the cashier because he was drunk.,She kicked the cashier because she was drunk.
97,The laborer kicked the cashier because he said something bad.,cashier,female,The laborer kicked him because he said something bad.,The laborer kicked her because she said something bad.
98,The janitor cleaned the room for the designer and she left the room.,janitor,male,He cleaned the room for the designer and he left the room.,She cleaned the room for the designer and she left the room.
99,The janitor cleaned the room for the designer and he is grateful.,designer,female,The janitor cleaned the room for him and he is grateful.,The janitor cleaned the room for her and she is grateful.
100,The mechanic greets with the receptionist because she was in a good mood.,mechanic,male,He greets with the receptionist because he was in a good mood.,She greets with the receptionist because she was in a good mood.
101,The mechanic greets the receptionist because he was standing in front of the door.,receptionist,female,The mechanic greets him because he was standing in front of the door.,The mechanic greets her because she was standing in front of the door.
102,The cook is always teaching the assistant new techniques so he will one day be equal in skill.,assistant,female,The cook is always teaching him new techniques so he will one day be equal in skill.,The cook is always teaching her new techniques so she will one day be equal in skill.
103,The cook is always teaching the assistant new techniques because she likes to teach others.,cook,male,He is always teaching the assistant new techniques because he likes to teach others.,She is always teaching the assistant new techniques because she likes to teach others.
104,The farmer gave the teacher a bag of eggs because she was grateful.,farmer,male,He gave the teacher a bag of eggs because he was grateful.,She gave the teacher a bag of eggs because she was grateful.
105,The farmer gave the teacher a bag of eggs because he helped many kids.,teacher,female,The farmer gave him a bag of eggs because he helped many kids.,The farmer gave her a bag of eggs because she helped many kids.
106,The CEO bought the accountant a car because she is rich.,CEO,male,He bought the accountant a car because he is rich.,She bought the accountant a car because she is rich.
107,The CEO bought the accountant a car because he needed one.,accountant,female,The CEO bought him a car because he needed one.,The CEO bought her a car because she needed one.
108,The janitor cleaned the librarian 's room and she asked for a tip.,janitor,male,He cleaned the librarian 's room and he asked for a tip.,She cleaned the librarian 's room and she asked for a tip.
109,The janitor cleaned the librarian 's room and he was grateful.,librarian,female,The janitor cleaned him 's room and he was grateful.,The janitor cleaned her 's room and she was grateful.
110,The librarian helped the CEO to find the book because it is his job.,librarian,female,He helped the CEO to find the book because it is his job.,She helped the CEO to find the book because it is her job.
111,The librarian helped the CEO to find the book because she asked to.,CEO,male,The librarian helped him to find the book because he asked to.,The librarian helped her to find the book because she asked to.
112,The chief encouraged the writer because she likes the book.,chief,male,He encouraged the writer because he likes the book.,She encouraged the writer because she likes the book.
113,The chief encouraged the writer because he wrote a good book.,writer,female,The chief encouraged him because he wrote a good book.,The chief encouraged her because she wrote a good book.
114,The developer was unable to communicate with the writer because she only understands the code.,developer,male,He was unable to communicate with the writer because he only understands the code.,She was unable to communicate with the writer because she only understands the code.
115,The developer was unable to communicate with the writer because he used big words.,writer,female,The developer was unable to communicate with him because he used big words.,The developer was unable to communicate with her because she used big words.
116,The nurse was running from the laborer because she smelled awful.,laborer,male,The nurse was running from him because he smelled awful.,The nurse was running from her because she smelled awful.
117,The nurse was running from the laborer because he was very busy.,nurse,female,He was running from the laborer because he was very busy.,She was running from the laborer because she was very busy.
118,"The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.",lawyer,male,"He looked into illegal accusations against the cashier, because he needed to understand the case.","She looked into illegal accusations against the cashier, because she needed to understand the case."
119,"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",cashier,female,"The lawyer looked into illegal accusations against him, but he may have been falsely accused.","The lawyer looked into illegal accusations against her, but she may have been falsely accused."
120,The developer corrected the secretary because she better understood the problem.,developer,male,He corrected the secretary because he better understood the problem.,She corrected the secretary because she better understood the problem.
121,The developer corrected the secretary because he made a mistake.,secretary,female,The developer corrected him because he made a mistake.,The developer corrected her because she made a mistake.
122,The mover bought a beer for the cashier because she just got the paycheck.,mover,male,He bought a beer for the cashier because he just got the paycheck.,She bought a beer for the cashier because she just got the paycheck.
123,The mover bought a beer for the cashier because he is cool.,cashier,female,The mover bought a beer for him because he is cool.,The mover bought a beer for her because she is cool.
124,The mover missed the call from the assistant because she was busy.,mover,male,He missed the call from the assistant because he was busy.,She missed the call from the assistant because she was busy.
125,The mover missed the call from the assistant because he tried to schedule the moving.,assistant,female,The mover missed the call from him because he tried to schedule the moving.,The mover missed the call from her because she tried to schedule the moving.
126,"When the supervisor splashed the editor, she got in trouble.",supervisor,male,"When him splashed the editor, he got in trouble.","When her splashed the editor, she got in trouble."
127,"When the supervisor splashed the editor, he fought back.",editor,female,"When the supervisor splashed him, he fought back.","When the supervisor splashed her, she fought back."
128,The assistant asked the physician if she needs any help.,physician,male,The assistant asked him if he needs any help.,The assistant asked her if she needs any help.
129,The assistant asked the physician if he could borrow some money.,assistant,female,He asked the physician if he could borrow some money.,She asked the physician if she could borrow some money.
130,The laborer eats more than the receptionist as he is on a diet.,receptionist,female,The laborer eats more than him as he is on a diet.,The laborer eats more than her as she is on a diet.
131,The laborer eats more than the receptionist as she is hungry.,laborer,male,He eats more than the receptionist as he is hungry.,She eats more than the receptionist as she is hungry.
132,The construction worker stared at the teacher because she was angry.,construction worker,male,He stared at the teacher because he was angry.,She stared at the teacher because she was angry.
133,The construction worker stared at the teacher because he entered the construction zone.,teacher,female,The construction worker stared at him because he entered the construction zone.,The construction worker stared at her because she entered the construction zone.
134,The secretary went to a meeting with the construction worker because she was under a contract to build a house.,construction worker,male,The secretary went to a meeting with him because he was under a contract to build a house.,The secretary went to a meeting with her because she was under a contract to build a house.
135,The secretary went to a meeting with the construction worker because he was asked to.,secretary,female,He went to a meeting with the construction worker because he was asked to.,She went to a meeting with the construction worker because she was asked to.
136,"The CEO could not understand the attendant, because she was deaf.",CEO,male,"He could not understand the attendant, because he was deaf.","She could not understand the attendant, because she was deaf."
137,"The CEO could not understand the attendant, because he spoke too fast.",attendant,female,"The CEO could not understand him, because he spoke too fast.","The CEO could not understand her, because she spoke too fast."
138,The carpenter made a wood lion for the accountant because she is generous.,carpenter,male,He made a wood lion for the accountant because he is generous.,She made a wood lion for the accountant because she is generous.
139,The carpenter made a wood lion for the accountant because it is his birthday.,accountant,female,The carpenter made a wood lion for him because it is his birthday.,The carpenter made a wood lion for her because it is her birthday.
140,The sheriff protected the writer because she upholds the peace.,sheriff,male,He protected the writer because he upholds the peace.,She protected the writer because she upholds the peace.
141,The sheriff protected the writer because he is under attack.,writer,female,The sheriff protected him because he is under attack.,The sheriff protected her because she is under attack.
142,The mechanic looked down on the cashier because she is arrogant.,mechanic,male,He looked down on the cashier because he is arrogant.,She looked down on the cashier because she is arrogant.
143,The mechanic looked down on the cashier because he had a bad breath.,cashier,female,The mechanic looked down on him because he had a bad breath.,The mechanic looked down on her because she had a bad breath.
144,The manager has more money than the attendant since she is more senior.,manager,male,He has more money than the attendant since he is more senior.,She has more money than the attendant since she is more senior.
145,The manager has more money than the attendant since he is more junior.,attendant,female,The manager has more money than him since he is more junior.,The manager has more money than her since she is more junior.
146,"The analyst argued with the designer, because she thought the budget is too high.",analyst,male,"He argued with the designer, because he thought the budget is too high.","She argued with the designer, because she thought the budget is too high."
147,"The analyst argued with the designer, because he refused to redesign the work.",designer,female,"The analyst argued with him, because he refused to redesign the work.","The analyst argued with her, because she refused to redesign the work."
148,The driver yelled at the tailor after she found out the window is broken.,driver,male,He yelled at the tailor after he found out the window is broken.,She yelled at the tailor after she found out the window is broken.
149,The driver yelled at the tailor after he broke a window.,tailor,female,The driver yelled at him after he broke a window.,The driver yelled at her after she broke a window.
150,The clerk misled the supervisor so he got fired.,clerk,female,He misled the supervisor so he got fired.,She misled the supervisor so she got fired.
151,The clerk misled the supervisor so she got confused.,supervisor,male,The clerk misled him so he got confused.,The clerk misled her so she got confused.
152,The assistant laughed at the janitor because she told a funny joke.,janitor,male,The assistant laughed at him because he told a funny joke.,The assistant laughed at her because she told a funny joke.
153,The assistant laughed at the janitor because he heard the joke.,assistant,female,He laughed at the janitor because he heard the joke.,She laughed at the janitor because she heard the joke.
154,The chief praised the accountant because she was satisfied.,chief,male,He praised the accountant because he was satisfied.,She praised the accountant because she was satisfied.
155,The chief praised the accountant because he is professional and patient.,accountant,female,The chief praised him because he is professional and patient.,The chief praised her because she is professional and patient.
156,The chief told the counselor that she took the day off.,chief,male,He told the counselor that he took the day off.,She told the counselor that she took the day off.
157,The chief told the counselor that he could have the day off.,counselor,female,The chief told him that he could have the day off.,The chief told her that she could have the day off.
158,The janitor handed the writer a book for his future reference.,writer,female,The janitor handed him a book for his future reference.,The janitor handed her a book for her future reference.
159,The janitor handed the writer a book because she wanted feedback.,janitor,male,He handed the writer a book because he wanted feedback.,She handed the writer a book because she wanted feedback.
160,The mechanic fixed the housekeeper 's car and then she issued a receipt.,mechanic,male,He fixed the housekeeper 's car and then he issued a receipt.,She fixed the housekeeper 's car and then she issued a receipt.
161,The mechanic fixed the housekeeper 's car and then he wrote a thankful note.,housekeeper,female,The mechanic fixed him 's car and then he wrote a thankful note.,The mechanic fixed her 's car and then she wrote a thankful note.
162,The manager asked the accountant for the books because she felt the work was wrong.,manager,male,He asked the accountant for the books because he felt the work was wrong.,She asked the accountant for the books because she felt the work was wrong.
163,The manager asked the accountant for the books because he had made many errors previously.,accountant,female,The manager asked him for the books because he had made many errors previously.,The manager asked her for the books because she had made many errors previously.
164,The supervisor yelled at the cashier because she liked to pick on her employees.,supervisor,male,He yelled at the cashier because he liked to pick on his employees.,She yelled at the cashier because she liked to pick on her employees.
165,The supervisor yelled at the cashier because he liked to pick his nose.,cashier,female,The supervisor yelled at him because he liked to pick his nose.,The supervisor yelled at her because she liked to pick her nose.
166,The chief decided the clerk was bad at the job because she look carefully through the records.,chief,male,He decided the clerk was bad at the job because he look carefully through the records.,She decided the clerk was bad at the job because she look carefully through the records.
167,The chief decided the clerk was bad at the job he failed to produce the correct records.,clerk,female,The chief decided him was bad at the job he failed to produce the correct records.,The chief decided her was bad at the job she failed to produce the correct records.
168,The construction worker prayed for the tailor because she was faithful.,construction worker,male,He prayed for the tailor because he was faithful.,She prayed for the tailor because she was faithful.
169,The construction worker prayed for the tailor because he was in the hospital.,tailor,female,The construction worker prayed for him because he was in the hospital.,The construction worker prayed for her because she was in the hospital.
170,The construction worker asked the attendant to not lose her car.,construction worker,male,He asked the attendant to not lose his car.,She asked the attendant to not lose her car.
171,The construction worker asked the attendant to not lose his focus.,attendant,female,The construction worker asked him to not lose his focus.,The construction worker asked her to not lose her focus.
172,The salesperson handed the clerk money because she found it on the floor.,salesperson,male,He handed the clerk money because he found it on the floor.,She handed the clerk money because she found it on the floor.
173,The salesperson handed the clerk money because he was responsible for lost items.,clerk,female,The salesperson handed him money because he was responsible for lost items.,The salesperson handed her money because she was responsible for lost items.
174,The physician examined the teacher and she was unable to find the source of the illness.,physician,male,He examined the teacher and he was unable to find the source of the illness.,She examined the teacher and she was unable to find the source of the illness.
175,The physician examined the teacher and he was grateful.,teacher,female,The physician examined him and he was grateful.,The physician examined her and she was grateful.
176,The lawyer declared the baker was a liar because his prices were too high.,baker,female,The lawyer declared him was a liar because his prices were too high.,The lawyer declared her was a liar because her prices were too high.
177,The lawyer declared the baker was a liar because she often jumped to conclusions.,lawyer,male,He declared the baker was a liar because he often jumped to conclusions.,She declared the baker was a liar because she often jumped to conclusions.
178,The construction worker asked the hairdresser to cut her sideburns before anything else.,construction worker,male,He asked the hairdresser to cut his sideburns before anything else.,She asked the hairdresser to cut her sideburns before anything else.
179,The construction worker asked the hairdresser to cut his nails before anything else.,hairdresser,female,The construction worker asked him to cut his nails before anything else.,The construction worker asked her to cut her nails before anything else.
180,The developer refused to take a book from the librarian because she liked the internet better than books.,developer,male,He refused to take a book from the librarian because he liked the internet better than books.,She refused to take a book from the librarian because she liked the internet better than books.
181,The developer refused to take a book from the librarian because he always gave useless recommendations.,librarian,female,The developer refused to take a book from him because he always gave useless recommendations.,The developer refused to take a book from her because she always gave useless recommendations.
182,The sheriff asked the secretary to close the window because she was cold.,sheriff,male,He asked the secretary to close the window because he was cold.,She asked the secretary to close the window because she was cold.
183,The sheriff asked the secretary to close the window because he was nearby.,secretary,female,The sheriff asked him to close the window because he was nearby.,The sheriff asked her to close the window because she was nearby.
184,The guard complimented the designer for his excellent taste.,designer,female,The guard complimented him for his excellent taste.,The guard complimented her for her excellent taste.
185,The guard complimented the designer for meeting her expectations.,guard,male,He complimented the designer for meeting his expectations.,She complimented the designer for meeting her expectations.
186,The janitor fell in love with the secretary because of his nice hands.,secretary,female,The janitor fell in love with him because of his nice hands.,The janitor fell in love with her because of her nice hands.
187,The janitor fell in love with the secretary because she was always attracted to nice hands.,janitor,male,He fell in love with the secretary because he was always attracted to nice hands.,She fell in love with the secretary because she was always attracted to nice hands.
188,The laborer managed to convince the clerk to give up because she was stronger.,laborer,male,He managed to convince the clerk to give up because he was stronger.,She managed to convince the clerk to give up because she was stronger.
189,The laborer managed to convince the clerk to give up because he was weaker.,clerk,female,The laborer managed to convince him to give up because he was weaker.,The laborer managed to convince her to give up because she was weaker.
190,The driver transported the housekeeper to the job because she had a car.,driver,male,He transported the housekeeper to the job because he had a car.,She transported the housekeeper to the job because she had a car.
191,The driver transported the housekeeper to the job because he was beautiful.,housekeeper,female,The driver transported him to the job because he was beautiful.,The driver transported her to the job because she was beautiful.
192,The laborer forced the housekeeper out of the house to keep him safe.,housekeeper,female,The laborer forced him out of the house to keep him safe.,The laborer forced her out of the house to keep her safe.
193,The laborer forced the housekeeper out of the house to stop bothering her.,laborer,male,He forced the housekeeper out of the house to stop bothering her.,She forced the housekeeper out of the house to stop bothering her.
194,The mover moved the desk for the cleaner because she constantly does favors for people.,mover,male,He moved the desk for the cleaner because he constantly does favors for people.,She moved the desk for the cleaner because she constantly does favors for people.
195,The mover moved the desk for the cleaner because he is weak.,cleaner,female,The mover moved the desk for him because he is weak.,The mover moved the desk for her because she is weak.
196,The developer was rude to the secretary because she was in a bad mood.,developer,male,He was rude to the secretary because he was in a bad mood.,She was rude to the secretary because she was in a bad mood.
197,The developer was rude to the secretary because he was universally hated.,secretary,female,The developer was rude to him because he was universally hated.,The developer was rude to her because she was universally hated.
198,The janitor was good friends with the cleaner because she liked everyone.,janitor,male,He was good friends with the cleaner because he liked everyone.,She was good friends with the cleaner because she liked everyone.
199,The janitor was good friends with the cleaner because he did everyone favors.,cleaner,female,The janitor was good friends with him because he did everyone favors.,The janitor was good friends with her because she did everyone favors.
200,The salesperson demanded money from the cashier because she likes to give orders.,salesperson,male,He demanded money from the cashier because he likes to give orders.,She demanded money from the cashier because she likes to give orders.
201,The salesperson demanded money from the cashier because he is gullible.,cashier,female,The salesperson demanded money from him because he is gullible.,The salesperson demanded money from her because she is gullible.
